iteration,time_used(s),python_coverage,c_coverage
120,4313.1250722408295,58566,93427
121,4351.922559499741,58566,93427
122,4387.772417783737,58586,93434
123,4416.696397066116,58602,93434
124,4476.902430534363,58632,93436
125,4514.944269418716,58632,93436
126,4542.4666912555695,58649,94337
127,4575.015307426453,58671,94337
128,4614.099103689194,58671,94337
129,4644.626027107239,58687,94350
130,4675.659774780273,58687,94354
131,4736.080552101135,58704,94354
132,4778.200084924698,58704,94354
133,4809.586799621582,58708,94354
134,4847.141793966293,58708,94354
135,4879.4663672447205,58708,94356
136,4909.092576742172,58715,94356
137,4935.106051683426,58715,94356
138,4961.828588962555,58728,94356
139,5002.516192913055,58728,94356
140,5045.655220270157,58735,94360
141,5076.408299446106,58737,94360
142,5108.960562467575,58737,94360
143,5157.863252162933,58737,94360
144,5187.511990070343,58737,94360
145,5209.229640245438,58737,94360
146,5275.935179233551,58755,94371
147,5307.205221652985,58766,94371
148,5369.149189949036,58782,94371
149,5446.213973522186,58803,94374
150,5478.016599178314,58804,94374
151,5558.114434719086,58809,94375
152,5590.921802520752,58821,94375
153,5624.717460393906,58825,94402
154,5724.784661769867,58836,94402
155,5747.530263185501,58841,94403
156,5773.478781700134,58841,94410
157,5837.466780662537,58841,94410
158,5864.09658741951,58846,94412
159,5887.570702314377,58851,94412
160,5916.878666162491,58851,94412
161,5944.5366888046265,58854,94413
162,5966.1306047439575,58855,94413
163,5990.980211496353,58855,94413
164,6014.168716907501,58855,94415
165,6043.49866771698,58881,94425
166,6070.374888420105,58898,94425
167,6093.463867664337,58904,94425
168,6148.6959183216095,58917,94429
169,6172.543657779694,58918,94429
170,6194.651913166046,58918,94429
171,6217.240077972412,58918,94429
172,6274.2083349227905,58934,94463
173,6307.324686050415,58953,94484
174,6376.94034075737,58974,94990
175,6398.918967247009,58982,94990
176,6421.176603317261,58982,94993
177,6458.760937452316,59042,95058
178,6479.691916227341,59042,95058
179,6502.063010215759,59043,95058
180,6566.434943914413,59048,95058
181,6588.716176986694,59060,95058
182,6615.358620166779,59062,95064
183,6637.770818710327,59083,95064
184,6663.361361980438,59086,95064
185,6693.221237182617,59107,95068
186,6756.2304673194885,59107,95068
187,6778.663261413574,59113,95068
188,6799.581786394119,59126,95068
189,6843.235875368118,59135,95090
190,6930.692646980286,59135,95090
191,6997.692940711975,59135,95090
192,7065.7054579257965,59181,95093
193,7092.116876363754,59181,95093
194,7117.061204910278,59181,95093
195,7140.778496265411,59181,95094
196,7167.589856624603,59227,96293
197,7271.457759141922,59227,96295
198,7303.838403463364,59227,96295
199,7327.83029794693,59228,96295
200,7354.139427185059,59228,96295
201,7377.827127456665,59245,96295
202,7399.4998116493225,59247,96304
203,7422.585227966309,59258,96304
204,7482.990417718887,59272,96304
205,7498.078499317169,59272,96304
206,7521.0516748428345,59272,96304
207,7543.285076141357,59272,96304
208,7566.4035630226135,59273,96304
209,7590.504940748215,59273,96306
210,7654.227560997009,59291,96306
211,7679.18648147583,59299,96306
212,7702.83363866806,59299,96307
213,7717.290677070618,59299,96307
214,7768.891968011856,59329,96307
215,7792.056948661804,59342,96308
216,7854.51092004776,59358,96308
217,7877.887828111649,59358,96308
218,7911.5451493263245,59371,96308
219,7983.490549564362,59383,96312
220,8047.40437579155,59383,96312
221,8113.7138023376465,59396,96312
222,8131.7151465415955,59396,96312
223,8152.418032407761,59396,96312
224,8175.810244321823,59424,96312
225,8190.743005514145,59424,96312
226,8252.196906328201,59440,96312
227,8324.44764137268,59440,96312
228,8360.020724534988,59440,96319
229,8383.84465432167,59440,96319
230,8452.823690652847,59440,96319
231,8480.787970542908,59441,96319
232,8548.828052282333,59447,96327
233,8572.616213083267,59451,96340
234,8597.248183727264,59452,96340
235,8657.442497730255,59452,96340
236,8679.262602090836,59452,96340
237,8705.218111038208,59472,96340
238,8780.002562999725,59484,96342
239,8802.126684188843,59497,96353
240,8826.095412492752,59497,96355
