iteration,time_used(s),python_coverage,c_coverage
121,3941.659573316574,17496,35282
122,3976.963077068329,17496,35315
123,3993.720935344696,17500,35361
124,4007.6877710819244,17505,35384
125,4024.749146938324,17505,35636
126,4037.9420874118805,17505,35654
127,4052.285317659378,17505,35680
128,4067.2354879379272,17505,35726
129,4167.295160770416,17506,35773
130,4247.077479362488,17508,35853
131,4264.467680931091,17508,35902
132,4281.266811609268,17514,35902
133,4322.32651758194,17514,35904
134,4342.891179561615,17514,35985
135,4356.228834629059,17515,36085
136,4374.184710264206,17515,36132
137,4393.7871997356415,17538,36222
138,4411.94509267807,17539,36297
139,4464.98900103569,17557,36395
140,4487.183943033218,17558,36429
141,4505.953035354614,17563,36429
142,4522.704463481903,17563,36480
143,4542.327862739563,17563,36538
144,4565.248725891113,17563,36629
145,4579.424077510834,17563,36711
146,4598.842478275299,17563,36779
147,4658.165276527405,17563,36854
148,4691.796904563904,17564,36883
149,4712.34090924263,17564,36952
150,4737.341797590256,17564,36984
151,4761.279864311218,17570,37017
152,4775.026092529297,17570,37046
153,4796.3716740608215,17570,37052
154,4836.932168245316,17570,37117
155,4891.564029932022,17570,37202
156,4907.913821697235,17570,37244
157,4924.928517818451,17573,37285
158,4958.267948389053,17573,37298
159,4972.5681965351105,17573,37298
160,4990.633350849152,17573,37333
161,5006.18509054184,17574,37340
162,5022.352631568909,17574,37377
163,5049.215184211731,17574,37396
164,5068.48971414566,17574,37484
165,5084.510242462158,17574,37505
166,5184.5657432079315,17574,37512
167,5201.511702775955,17574,37529
168,5216.91055727005,17574,37529
169,5233.480506658554,17585,37633
170,5249.054983139038,17585,37660
171,5263.394735574722,17585,37716
172,5319.422178506851,17602,37875
173,5341.635182857513,17609,37879
174,5361.266762971878,17609,37922
175,5382.392972707748,17609,37922
176,5396.1675090789795,17609,37922
177,5412.772489309311,17609,37994
178,5431.293503284454,17609,38069
179,5446.687622308731,17610,38142
180,5469.670068979263,17610,38179
181,5487.395397424698,17610,38217
182,5553.271111011505,17610,38250
183,5581.291064023972,17610,38288
184,5603.427196741104,17610,38288
185,5648.870162248611,17610,38319
186,5668.477804899216,17618,38437
187,5682.169864416122,17623,38468
188,5746.176808834076,17627,38575
189,5769.199677228928,17627,38674
190,5869.2654395103455,17637,38817
191,5885.685870170593,17637,38881
192,5901.830038785934,17638,38884
193,5921.907430171967,17641,38937
194,5938.223403215408,17641,38957
195,6038.84857583046,17646,39019
196,6056.4789843559265,17646,39069
197,6074.393169403076,17646,39070
198,6089.302826166153,17646,39104
199,6104.3000338077545,17647,39104
200,6123.2800970077515,17647,39147
201,6140.000267028809,17647,39189
202,6240.07102227211,17648,39189
203,6255.925273895264,17648,39233
204,6272.377804279327,17648,39268
205,6283.154877901077,17648,39281
206,6299.722045660019,17648,39329
207,6313.809867620468,17648,39384
208,6330.170113801956,17648,39434
209,6346.490861654282,17648,39469
210,6360.596475362778,17649,39563
211,6386.351208925247,17652,39579
212,6401.203761100769,17652,39615
213,6418.9259576797485,17652,39668
214,6496.629458904266,17652,39712
215,6515.0905385017395,17652,39747
216,6533.817126750946,17652,39905
217,6552.848942518234,17652,40060
218,6597.021343946457,17653,40061
219,6606.047868490219,17653,40061
220,6618.782624959946,17653,40079
221,6633.4368007183075,17654,40079
222,6647.720818519592,17658,40130
223,6684.652111291885,17658,40133
224,6697.437357902527,17658,40178
225,6797.500746250153,17659,40178
226,6814.650808811188,17659,40224
227,6828.933935165405,17659,40270
228,6847.034304380417,17659,40313
229,6867.797034263611,17659,40339
230,6887.168479204178,17659,40379
231,6899.199578046799,17674,40393
232,6937.971352100372,17681,40462
233,7031.321163654327,17681,40486
234,7044.9751715660095,17681,40555
235,7063.240507364273,17682,40555
236,7086.8229994773865,17682,40593
237,7109.853793382645,17700,40697
238,7126.410169124603,17700,40765
239,7143.115695953369,17700,40806
240,7158.2255873680115,17700,40841
241,7184.3416223526,17700,40871
242,7231.512916564941,17700,40871
243,7247.168063163757,17700,40953
244,7347.2160103321075,17704,41091
245,7360.123557567596,17707,41132
246,7381.234562158585,17707,41238
247,7406.720863580704,17707,41403
248,7435.630169868469,17707,41403
249,7535.697071552277,17707,41403
250,7635.774488687515,17713,41475
251,7669.737132072449,17733,41524
252,7686.041947126389,17733,41623
253,7705.020437717438,17733,41665
254,7722.9481112957,17733,41718
255,7752.741272449493,17744,41734
256,7853.226692914963,17749,41796
257,7893.922971487045,17749,41914
258,7907.873736619949,17749,41939
259,7926.041840553284,17749,41977
260,7941.569025278091,17749,42017
261,7957.976909160614,17750,42052
262,8034.557545661926,17751,42052
263,8047.651371955872,17754,42082
264,8085.428310394287,17754,42160
265,8100.5759172439575,17754,42217
266,8117.826861858368,17755,42217
267,8217.93964266777,17755,42227
268,8235.51858997345,17755,42262
269,8254.039819478989,17755,42291
270,8270.793415546417,17755,42319
271,8309.46943473816,17755,42319
272,8325.033260583878,17755,42353
273,8340.928998231888,17755,42387
274,8359.900504112244,17755,42423
275,8379.583771705627,17755,42462
276,8396.101900100708,17755,42487
277,8470.233236789703,17763,42487
278,8493.080202102661,17763,42501
279,8593.128052473068,17764,42501
280,8693.3746612072,17764,42590
281,8708.327312469482,17764,42616
282,8720.373234510422,17764,42616
283,8741.301878452301,17764,42873
284,8762.041850805283,17764,42901
285,8774.692286968231,17765,42901
286,8788.734056472778,17765,42920
287,8799.268995285034,17787,43167
288,8817.28167295456,17787,43264
289,8836.107902288437,17789,43270
290,8852.578683376312,17789,43303
291,8866.76656460762,17789,43355
292,8887.334228038788,17792,43355
293,8904.242637634277,17792,43397
294,8945.61219382286,17792,43435
295,8965.732532978058,17792,43514
296,8984.55054140091,17792,43554
297,8993.681729793549,17792,43579
298,9007.782855272293,17792,43650
299,9023.398171901703,17793,43650
300,9039.157578468323,17793,43728
301,9052.102112054825,17793,43728
302,9070.4191904068,17793,43764
303,9088.884443998337,17793,43813
304,9178.151679992676,17797,43869
305,9191.586635112762,17800,43934
306,9230.217378377914,17800,43966
307,9245.577318429947,17800,44006
308,9262.442339658737,17800,44083
309,9277.298617839813,17800,44160
310,9293.851946353912,17800,44194
311,9308.089826107025,17800,44231
312,9325.698731899261,17800,44241
313,9369.28796172142,17800,44263
314,9384.542100191116,17800,44355
315,9396.978152990341,17809,44415
316,9459.553057193756,17809,44494
317,9473.190631628036,17809,44546
318,9521.71467089653,17809,44546
319,9541.899099111557,17809,44546
320,9555.387650251389,17809,44589
321,9599.501389741898,17811,44630
322,9615.977904319763,17811,44820
323,9628.827894449234,17811,44820
324,9648.773176193237,17811,44863
325,9669.347045183182,17811,45020
326,9769.439424037933,17811,45020
327,9808.692894935608,17811,45046
328,9825.446854352951,17811,45133
329,9841.292967796326,17811,45185
330,9857.345028162003,17811,45185
331,9875.598984956741,17811,45278
332,9896.724024534225,17811,45332
333,9910.973687648773,17811,45369
334,9979.94754076004,17812,45402
335,10080.000761032104,17813,45402
336,10095.449388027191,17813,45445
337,10107.891055345535,17814,45445
338,10124.909336090088,17814,45535
339,10141.418194532394,17815,45535
340,10242.392345666885,17815,45576
341,10342.43400478363,17815,45588
342,10442.477642536163,17819,45589
343,10457.872378349304,17819,45662
344,10496.183222293854,17819,45699
345,10512.123261213303,17819,45745
346,10525.820553541183,17819,45764
347,10540.864593029022,17820,45764
348,10559.3413772583,17820,45764
349,10591.902391910553,17820,45766
350,10606.197292804718,17820,45807
351,10620.960957050323,17820,45835
352,10640.131335496902,17823,45835
353,10663.656788349152,17823,45900
354,10678.818722009659,17823,45940
355,10697.935584306717,17823,45940
356,10718.277486085892,17823,46014
357,10731.67864561081,17825,46014
358,10783.752661943436,17825,46014
359,10800.276984930038,17825,46077
360,10814.512478590012,17826,46081
361,10827.003032684326,17829,46115
362,10844.176014661789,17829,46181
363,10865.401525974274,17829,46217
364,10886.035249233246,17829,46262
365,10914.647240638733,17829,46285
366,10928.992732524872,17829,46327
367,10974.675463438034,17830,46327
368,10994.55961227417,17830,46354
369,11088.144025802612,17830,46356
370,11135.32651424408,17831,46385
371,11155.891158342361,17831,46415
372,11256.010236501694,17832,46415
373,11356.127066612244,17835,46415
374,11375.305367469788,17835,46465
375,11389.508810520172,17835,46507
376,11404.523425340652,17835,46507
377,11421.963255882263,17835,46536
378,11435.558928251266,17835,46578
379,11448.29251742363,17836,46578
380,11473.186466217041,17836,46650
381,11490.951511383057,17836,46701
382,11510.249546051025,17836,47010
383,11564.199910640717,17836,47010
384,11582.337607622147,17848,47053
385,11602.388790845871,17848,47125
386,11622.202127456665,17848,47265
387,11638.251167535782,17851,47265
388,11671.79769539833,17851,47266
389,11736.260665893555,17873,47494
390,11793.377009153366,17873,47521
391,11811.155710220337,17873,47618
392,11828.159791469574,17873,47630
393,11855.208054542542,17873,47815
394,11872.664677858353,17873,47842
395,11948.744109153748,17903,47842
396,11970.919064044952,17931,48891
397,11989.468655109406,17931,48919
398,12009.385926485062,17931,48964
399,12025.590853452682,17931,49044
400,12041.144852638245,17931,49080
401,12054.63944864273,17931,49093
402,12075.768867254257,17931,49152
403,12102.178939580917,17931,49223
404,12202.25079536438,17931,49283
405,12221.817241191864,17931,49560
406,12237.983907938004,17931,49635
407,12254.293205499649,17931,49635
408,12279.101120233536,17938,49635
409,12294.454081058502,17938,49682
410,12318.347940921783,17938,49719
411,12342.335704088211,17938,49759
412,12363.415986299515,17938,49792
413,12376.393953561783,17941,49822
414,12422.241457939148,17941,49871
415,12466.266909122467,17941,49917
416,12485.454919338226,17952,49960
417,12514.073058128357,17952,49961
418,12574.05426478386,17955,49961
419,12609.823887109756,17955,49996
420,12622.361875534058,17955,49996
421,12635.849679470062,17959,50000
422,12736.718616485596,17962,50000
423,12836.786110639572,17962,50026
424,12852.708968162537,17962,50112
425,12871.578824043274,17964,50343
426,12890.26116657257,17964,50372
427,12905.627303600311,17966,50410
428,12924.300822257996,17966,50452
429,12940.971614599228,17966,50473
430,12994.906048059464,17966,50473
431,13018.499233722687,17966,50517
432,13037.061419487,17966,50547
433,13115.527037620544,17966,50608
434,13147.712791204453,17966,50642
435,13166.339245557785,17966,50673
436,13221.03207731247,17966,50698
437,13237.080203056335,17967,50698
438,13282.989200115204,17968,50742
439,13316.347872972488,17968,50796
440,13332.480851888657,17973,50797
441,13432.69720697403,17973,50797
442,13451.372269630432,17973,50797
443,13468.762092590332,17974,50828
444,13492.714777946472,17977,50865
445,13514.097640752792,17977,50969
446,13592.649946451187,17977,50969
447,13607.397901773453,17977,50987
448,13642.0317735672,17989,50988
449,13666.124741315842,17994,51024
450,13681.592404842377,17994,51024
451,13708.554666996002,17998,51024
452,13725.27710390091,17999,51024
453,13738.965960741043,18000,51052
454,13752.403690576553,18001,51052
455,13774.830279111862,18001,51125
456,13786.517581224442,18002,51125
457,13886.644911527634,18002,51125
458,13905.511215209961,18002,51142
