total testcases: 843
coverage_c=1369, time_used=4853220
coverage_c=1369, time_used=4876992
coverage_c=1369, time_used=3283242
coverage_c=1369, time_used=2787092
Exception 发生了, [Errno 111] Connection refused
coverage_c=1369, time_used=3277719
coverage_c=1369, time_used=3450236
coverage_c=1369, time_used=10507315
coverage_c=1369, time_used=3152514
coverage_c=1369, time_used=3019352
coverage_c=1369, time_used=3179405
coverage_c=1369, time_used=3618360
coverage_c=1369, time_used=4743037
coverage_c=1369, time_used=4898781
coverage_c=1369, time_used=2630450
coverage_c=1369, time_used=4040153
coverage_c=1369, time_used=4777786
coverage_c=1369, time_used=3258331
coverage_c=1369, time_used=2788287
coverage_c=1369, time_used=4993238
coverage_c=1369, time_used=4790872
coverage_c=1369, time_used=4828394
coverage_c=1369, time_used=4853578
coverage_c=1369, time_used=4806419
coverage_c=1369, time_used=4833907
coverage_c=1369, time_used=3299816
coverage_c=1369, time_used=5908202
coverage_c=1369, time_used=9563575
coverage_c=1379, time_used=8521011
coverage_c=1379, time_used=9166248
coverage_c=1379, time_used=9923304
coverage_c=1379, time_used=9636272
coverage_c=1379, time_used=1903553
coverage_c=1379, time_used=4732801
coverage_c=1379, time_used=1989671
coverage_c=1379, time_used=4873218
coverage_c=1379, time_used=4811903
coverage_c=1379, time_used=4802304
coverage_c=1379, time_used=2785922
coverage_c=1379, time_used=4783075
coverage_c=1379, time_used=4839201
coverage_c=1379, time_used=4855372
coverage_c=1379, time_used=4725962
coverage_c=1379, time_used=4859869
coverage_c=1379, time_used=4882252
coverage_c=1379, time_used=4921850
coverage_c=1379, time_used=2601224
coverage_c=1379, time_used=4795781
coverage_c=1379, time_used=4891496
coverage_c=1379, time_used=4855287
coverage_c=1379, time_used=4900045
coverage_c=1379, time_used=10451371
coverage_c=1380, time_used=9124548
coverage_c=1382, time_used=10243457
coverage_c=1382, time_used=9294203
coverage_c=1382, time_used=3843570
coverage_c=1382, time_used=10351737
coverage_c=1382, time_used=12224938
coverage_c=1382, time_used=15209055
coverage_c=1382, time_used=4885539
coverage_c=1382, time_used=9689386
coverage_c=1382, time_used=9647753
coverage_c=1382, time_used=10566658
coverage_c=1382, time_used=10575926
coverage_c=1382, time_used=12028078
coverage_c=1382, time_used=4808894
coverage_c=1382, time_used=4825194
coverage_c=1382, time_used=4717927
coverage_c=1382, time_used=4876892
coverage_c=1382, time_used=4874368
coverage_c=1382, time_used=2631987
coverage_c=1382, time_used=4877834
coverage_c=1382, time_used=4820241
coverage_c=1382, time_used=2766764
coverage_c=1382, time_used=4831865
coverage_c=1382, time_used=4898860
coverage_c=1382, time_used=4864264
coverage_c=1382, time_used=5006452
coverage_c=1382, time_used=4925894
coverage_c=1382, time_used=5080695
coverage_c=1382, time_used=4851003
coverage_c=1382, time_used=2900211
coverage_c=1382, time_used=2884234
coverage_c=1382, time_used=3443392
coverage_c=1382, time_used=2901678
coverage_c=1382, time_used=2938934
coverage_c=1382, time_used=3032604
coverage_c=1382, time_used=3036633
coverage_c=1382, time_used=2980846
coverage_c=1382, time_used=3583775
coverage_c=1382, time_used=2835712
coverage_c=1382, time_used=3495229
coverage_c=1382, time_used=3545746
coverage_c=1382, time_used=2957482
coverage_c=1382, time_used=3416919
coverage_c=1382, time_used=2822539
coverage_c=1382, time_used=2859679
coverage_c=1382, time_used=2837065
coverage_c=1382, time_used=2955729
coverage_c=1382, time_used=3474915
coverage_c=1382, time_used=2830173
coverage_c=1391, time_used=2896962
coverage_c=1391, time_used=2795616
coverage_c=1391, time_used=3429275
coverage_c=1391, time_used=5782839
coverage_c=1391, time_used=8731167
coverage_c=1391, time_used=3013429
coverage_c=1391, time_used=3265035
coverage_c=1391, time_used=8488525
coverage_c=1391, time_used=7156999
coverage_c=1391, time_used=5323699
coverage_c=1391, time_used=9341200
coverage_c=1391, time_used=14086368
coverage_c=1391, time_used=13545264
coverage_c=1391, time_used=4363917
coverage_c=1391, time_used=2950800
coverage_c=1391, time_used=2929911
coverage_c=1391, time_used=3445919
coverage_c=1391, time_used=3432640
coverage_c=1391, time_used=2983363
coverage_c=1391, time_used=3117133
coverage_c=1391, time_used=3134556
coverage_c=1391, time_used=2917538
coverage_c=1391, time_used=2990248
coverage_c=1391, time_used=2884066
coverage_c=1391, time_used=2844303
coverage_c=1391, time_used=2884682
coverage_c=1391, time_used=2908276
coverage_c=1391, time_used=2961616
coverage_c=1391, time_used=2962420
coverage_c=1391, time_used=2479202
coverage_c=1391, time_used=3388283
coverage_c=1391, time_used=3506929
coverage_c=1391, time_used=3503196
coverage_c=1391, time_used=7863352
coverage_c=1391, time_used=3311106
coverage_c=1391, time_used=3018422
coverage_c=1391, time_used=3609543
coverage_c=1391, time_used=2968074
coverage_c=1391, time_used=2983879
coverage_c=1391, time_used=2895918
coverage_c=1391, time_used=2755886
coverage_c=1391, time_used=2881555
coverage_c=1391, time_used=2919234
coverage_c=1391, time_used=2924867
coverage_c=1391, time_used=2905655
coverage_c=1391, time_used=3095781
coverage_c=1391, time_used=2951240
coverage_c=1391, time_used=3050566
coverage_c=1391, time_used=2909207
coverage_c=1391, time_used=3088829
coverage_c=1391, time_used=3103863
coverage_c=1391, time_used=2510945
coverage_c=1391, time_used=3653366
coverage_c=1391, time_used=3025455
coverage_c=1391, time_used=2882770
coverage_c=1391, time_used=2955060
coverage_c=1391, time_used=2982325
coverage_c=1391, time_used=2939440
coverage_c=1391, time_used=2929311
coverage_c=1391, time_used=2945644
coverage_c=1391, time_used=2558330
coverage_c=1391, time_used=4778867
coverage_c=1391, time_used=4749169
coverage_c=1391, time_used=10273126
coverage_c=1391, time_used=8153427
coverage_c=1391, time_used=9543576
coverage_c=1391, time_used=9432519
coverage_c=1391, time_used=10225640
coverage_c=1391, time_used=3667472
coverage_c=1391, time_used=2469339
coverage_c=1391, time_used=2888577
coverage_c=1391, time_used=3166368
coverage_c=1391, time_used=3089839
coverage_c=1391, time_used=3495073
coverage_c=1391, time_used=7990211
coverage_c=1391, time_used=9765798
coverage_c=1391, time_used=3358721
coverage_c=1391, time_used=9444402
coverage_c=1391, time_used=6113786
coverage_c=1391, time_used=12134907
coverage_c=1391, time_used=3355989
coverage_c=1391, time_used=9434691
coverage_c=1391, time_used=10495148
coverage_c=1391, time_used=9180964
coverage_c=1391, time_used=8966496
coverage_c=1391, time_used=4460533
coverage_c=1391, time_used=4739562
coverage_c=1391, time_used=6757817
coverage_c=1391, time_used=5893097
coverage_c=1391, time_used=7484763
coverage_c=1391, time_used=9873982
coverage_c=1391, time_used=5870244
coverage_c=1391, time_used=10232321
coverage_c=1391, time_used=3862704
coverage_c=1391, time_used=3065584
coverage_c=1391, time_used=2986966
coverage_c=1391, time_used=2972505
coverage_c=1391, time_used=2656502
coverage_c=1391, time_used=2947210
coverage_c=1391, time_used=3018593
coverage_c=1391, time_used=2980422
coverage_c=1391, time_used=2981799
coverage_c=1391, time_used=2852820
coverage_c=1391, time_used=2917537
coverage_c=1391, time_used=3135686
coverage_c=1391, time_used=3311938
coverage_c=1391, time_used=10380256
coverage_c=1391, time_used=12604241
coverage_c=1391, time_used=6356621
coverage_c=1391, time_used=14629320
coverage_c=1391, time_used=9934574
coverage_c=1391, time_used=13144716
coverage_c=1391, time_used=12585599
coverage_c=1391, time_used=10299306
coverage_c=1391, time_used=13023331
coverage_c=1391, time_used=9501869
coverage_c=1391, time_used=13101999
coverage_c=1391, time_used=12025672
coverage_c=1391, time_used=10333841
coverage_c=1391, time_used=12336290
coverage_c=1391, time_used=12374506
coverage_c=1391, time_used=4368314
coverage_c=1391, time_used=11495629
coverage_c=1391, time_used=5885509
coverage_c=1391, time_used=13777063
coverage_c=1391, time_used=12255954
coverage_c=1391, time_used=8403905
coverage_c=1391, time_used=14976426
coverage_c=1391, time_used=7708331
coverage_c=1391, time_used=6884403
coverage_c=1391, time_used=9305088
coverage_c=1391, time_used=10017614
coverage_c=1391, time_used=1840136
coverage_c=1391, time_used=2852015
coverage_c=1391, time_used=2988293
coverage_c=1391, time_used=3103491
coverage_c=1391, time_used=10226639
coverage_c=1391, time_used=12192813
coverage_c=1391, time_used=11962595
coverage_c=1391, time_used=12401661
coverage_c=1391, time_used=12942508
coverage_c=1391, time_used=13203514
coverage_c=1391, time_used=3563359
coverage_c=1391, time_used=11032970
coverage_c=1391, time_used=10416334
coverage_c=1391, time_used=10001811
coverage_c=1391, time_used=9573876
coverage_c=1391, time_used=3697880
coverage_c=1391, time_used=7836669
coverage_c=1391, time_used=3545756
coverage_c=1391, time_used=7626203
coverage_c=1391, time_used=4689470
coverage_c=1391, time_used=4767305
coverage_c=1391, time_used=4786433
coverage_c=1391, time_used=3166698
coverage_c=1391, time_used=4834389
coverage_c=1391, time_used=4791295
coverage_c=1391, time_used=4822400
coverage_c=1391, time_used=4805590
coverage_c=1391, time_used=4853012
coverage_c=1391, time_used=4879647
coverage_c=1391, time_used=4844947
coverage_c=1391, time_used=4893240
coverage_c=1391, time_used=4883801
coverage_c=1391, time_used=4767802
coverage_c=1391, time_used=4888534
coverage_c=1391, time_used=4946164
coverage_c=1391, time_used=5312505
coverage_c=1391, time_used=4854122
coverage_c=1391, time_used=2960696
coverage_c=1391, time_used=5938293
coverage_c=1391, time_used=4837125
coverage_c=1391, time_used=4559809
coverage_c=1391, time_used=2785204
coverage_c=1391, time_used=2804267
coverage_c=1391, time_used=5027205
coverage_c=1391, time_used=4836322
coverage_c=1391, time_used=4854033
coverage_c=1391, time_used=4151042
coverage_c=1391, time_used=9381276
coverage_c=1392, time_used=7629172
coverage_c=1392, time_used=3148630
coverage_c=1392, time_used=13046158
coverage_c=1392, time_used=2620330
coverage_c=1392, time_used=2772484
coverage_c=1392, time_used=4837130
coverage_c=1392, time_used=9504292
coverage_c=1392, time_used=4770974
coverage_c=1392, time_used=2537674
coverage_c=1392, time_used=4717635
coverage_c=1392, time_used=4871164
coverage_c=1392, time_used=4795135
coverage_c=1392, time_used=4755932
coverage_c=1392, time_used=4821664
coverage_c=1392, time_used=4784458
coverage_c=1392, time_used=2524727
coverage_c=1392, time_used=4804950
coverage_c=1392, time_used=4759661
coverage_c=1392, time_used=4810458
coverage_c=1392, time_used=4803049
coverage_c=1392, time_used=4852180
coverage_c=1392, time_used=3728383
coverage_c=1392, time_used=13138825
coverage_c=1392, time_used=11999137
coverage_c=1392, time_used=10303133
coverage_c=1392, time_used=14003525
coverage_c=1392, time_used=12563568
coverage_c=1392, time_used=10422598
coverage_c=1392, time_used=12349280
coverage_c=1392, time_used=12129619
coverage_c=1392, time_used=10302631
coverage_c=1392, time_used=8247659
coverage_c=1392, time_used=12367407
coverage_c=1392, time_used=5949534
coverage_c=1392, time_used=12516841
coverage_c=1392, time_used=10305982
coverage_c=1392, time_used=4102035
coverage_c=1392, time_used=4782748
coverage_c=1392, time_used=3119985
coverage_c=1392, time_used=4834656
coverage_c=1392, time_used=4835895
coverage_c=1392, time_used=4785648
coverage_c=1392, time_used=4840886
coverage_c=1392, time_used=4832208
coverage_c=1392, time_used=4848100
coverage_c=1392, time_used=4859425
coverage_c=1392, time_used=4801602
coverage_c=1392, time_used=4825483
coverage_c=1392, time_used=5023720
coverage_c=1392, time_used=2839372
coverage_c=1392, time_used=4767403
coverage_c=1392, time_used=4937147
coverage_c=1392, time_used=3199066
coverage_c=1392, time_used=4818337
Exception 发生了, [Errno 104] Connection reset by peer
coverage_c=1392, time_used=2700596
coverage_c=1407, time_used=4821390
coverage_c=1407, time_used=3237241
coverage_c=1407, time_used=2114875
coverage_c=1407, time_used=3767080
coverage_c=1407, time_used=4787410
coverage_c=1407, time_used=5495771
coverage_c=1407, time_used=4787899
Exception 发生了, [Errno 104] Connection reset by peer
coverage_c=1407, time_used=3556414
coverage_c=1407, time_used=9574640
coverage_c=1407, time_used=14944411
coverage_c=1407, time_used=12347030
coverage_c=1407, time_used=3289156
coverage_c=1407, time_used=9376544
coverage_c=1407, time_used=4817598
coverage_c=1407, time_used=4907726
coverage_c=1407, time_used=2712829
coverage_c=1407, time_used=4409302
coverage_c=1407, time_used=4852857
coverage_c=1407, time_used=4789829
coverage_c=1407, time_used=4416199
coverage_c=1407, time_used=2822409
coverage_c=1407, time_used=3697634
coverage_c=1407, time_used=3971358
coverage_c=1407, time_used=4700313
coverage_c=1407, time_used=4908592
coverage_c=1407, time_used=4836948
coverage_c=1407, time_used=2967568
coverage_c=1407, time_used=4779718
coverage_c=1407, time_used=4888442
coverage_c=1407, time_used=4785655
coverage_c=1407, time_used=2326084
coverage_c=1407, time_used=3717678
coverage_c=1407, time_used=4895690
coverage_c=1407, time_used=4878999
coverage_c=1407, time_used=4845042
coverage_c=1407, time_used=4840629
coverage_c=1407, time_used=2692153
coverage_c=1407, time_used=4869991
coverage_c=1407, time_used=4858620
coverage_c=1407, time_used=4905960
coverage_c=1407, time_used=2765716
coverage_c=1407, time_used=5847899
coverage_c=1407, time_used=3019909
coverage_c=1407, time_used=4541493
coverage_c=1407, time_used=3015318
coverage_c=1407, time_used=3306489
coverage_c=1407, time_used=4846982
coverage_c=1407, time_used=2357489
coverage_c=1407, time_used=3221151
coverage_c=1407, time_used=3528935
coverage_c=1407, time_used=4145288
coverage_c=1407, time_used=4866477
coverage_c=1407, time_used=2814205
coverage_c=1407, time_used=2920824
coverage_c=1407, time_used=4109507
coverage_c=1407, time_used=4848900
coverage_c=1407, time_used=4831366
coverage_c=1407, time_used=3327295
Exception 发生了, [Errno 111] Connection refused
coverage_c=1407, time_used=3042377
coverage_c=1407, time_used=3279241
coverage_c=1407, time_used=4898001
coverage_c=1407, time_used=3444873
coverage_c=1407, time_used=4861548
coverage_c=1407, time_used=2642406
coverage_c=1407, time_used=4922527
coverage_c=1407, time_used=4849071
coverage_c=1407, time_used=4893419
coverage_c=1407, time_used=4837179
coverage_c=1407, time_used=8827191
coverage_c=1407, time_used=4814422
coverage_c=1407, time_used=4890759
coverage_c=1407, time_used=3734283
coverage_c=1407, time_used=4887276
coverage_c=1407, time_used=3666165
coverage_c=1407, time_used=4789196
coverage_c=1407, time_used=2483811
coverage_c=1407, time_used=4812986
coverage_c=1407, time_used=4794098
