time_used(ms), py_cov, coverage_time_used(ms)
9.405851364135742, 0, 9.399474
31.679391860961914, 0, 6.719782
49.484968185424805, 0, 7.437969
65.77014923095703, 0, 5.502903
82.8254222869873, 0, 6.420472
103.76381874084473, 1, 5.64694
127.4418830871582, 6, 11.738714
152.4519920349121, 6, 10.758233
180.77611923217773, 10, 12.839101
204.21814918518066, 181, 10.531432
227.13041305541992, 372, 9.832875
250.72360038757324, 522, 8.583605
282.6213836669922, 552, 20.761413
321.333646774292, 552, 28.054033
345.46566009521484, 552, 11.794552
364.69101905822754, 552, 8.08395
382.291316986084, 552, 6.705648
407.72461891174316, 552, 8.093396
429.20517921447754, 552, 10.951597
454.93531227111816, 552, 7.471289
475.7251739501953, 552, 10.151898
500.55742263793945, 588, 9.293208
518.4485912322998, 645, 7.353675
535.5355739593506, 646, 6.157772
552.8833866119385, 646, 6.504582
572.573184967041, 646, 7.432832
595.815896987915, 646, 7.482638
624.8378753662109, 668, 13.206145
650.6893634796143, 668, 10.073164
671.7088222503662, 668, 10.167713
699.9127864837646, 668, 12.682859
730.4677963256836, 668, 14.349011
757.270097732544, 668, 10.835452
819.5106983184814, 668, 39.608801
856.1644554138184, 668, 15.901343
880.4988861083984, 668, 12.102067
908.0109596252441, 668, 11.952311
935.0545406341553, 670, 10.544483
950.0975608825684, 679, 4.571368
973.6948013305664, 679, 9.545303
1002.1288394927979, 757, 10.324089
1076.5104293823242, 757, 53.66504
1117.0811653137207, 757, 19.629047
1199.044942855835, 757, 60.768004
1239.203691482544, 757, 19.110215
1278.3818244934082, 757, 18.608861
1319.8144435882568, 757, 20.444554
1360.26930809021, 757, 19.494595
1397.345781326294, 757, 16.183392
1477.2577285766602, 757, 63.976398
1512.7222537994385, 757, 19.675775
1549.0248203277588, 757, 15.336988
1582.2808742523193, 757, 12.569193
1615.9141063690186, 757, 17.898814
1646.6009616851807, 757, 17.396335
1684.1487884521484, 757, 16.814196
1716.3009643554688, 759, 17.525889
1752.5155544281006, 802, 15.008823
1853.2440662384033, 802, 83.070546
1891.0934925079346, 802, 16.983265
1929.6534061431885, 802, 17.844732
1969.7790145874023, 802, 19.272973
2010.035514831543, 802, 19.530238
2046.3757514953613, 802, 15.769628
2084.688901901245, 802, 17.490919
2123.6228942871094, 802, 17.951616
2162.282705307007, 802, 17.964391
2202.6727199554443, 802, 19.596116
2242.9704666137695, 802, 19.474023
2281.6717624664307, 802, 17.773955
2320.5840587615967, 802, 18.071221
2356.4343452453613, 802, 15.02831
2489.457607269287, 802, 112.247854
2528.484582901001, 802, 18.191788
2566.4215087890625, 802, 17.274127
2606.314182281494, 802, 17.532314
2642.5132751464844, 802, 15.216265
2682.779312133789, 802, 19.420155
2723.576068878174, 802, 19.962264
2762.843608856201, 802, 18.517378
2916.9745445251465, 802, 12.855999
2943.1135654449463, 802, 12.349866
2971.0583686828613, 802, 12.333719
3006.5243244171143, 802, 14.751491
3036.8285179138184, 927, 14.976406
3072.3648071289062, 927, 16.497457
3096.736431121826, 1078, 12.138672
3130.0153732299805, 1101, 17.572519
3163.0735397338867, 1142, 14.604417
3189.946174621582, 1440, 11.622675
3205.030918121338, 1440, 4.746344
